module	tier	status	value_model	apqc	models	routes	priority
test_orm	test	todo	support	13.0	153	0	306
test_mail	test	todo	support	13.0	47	0	94
test_import_export	test	todo	support	13.0	35	0	70
test_testing_utilities	test	todo	support	13.0	33	0	66
test_website	test	todo	support	13.0	5	37	47
test_http	test	todo	support	13.0	2	34	38
mail	deep	done	support	9.4	14	8	36
base	deep	done	support	8.0	17	0	34
test_read_group	test	todo	support	13.0	17	0	34
website	deep	done	network	3.0	8	16	32
account_payment	deep	done	support	9.0	12	5	29
html_editor	deep	done	support	8.0	7	15	29
stock	deep	done	chain	4.0	14	1	29
pos_loyalty	deep	done	chain	3.0	14	0	28
pos_sale	deep	done	chain	3.0	14	0	28
mrp_subcontracting	deep	done	chain	4.3	11	3	25
account	deep	done	support	9.0	10	4	24
mass_mailing_sms	deep	done	network	3.0	11	2	24
test_base_automation	test	todo	support	13.0	12	0	24
account_peppol	deep	done	network	9.0	9	4	22
hr_holidays_attendance	deep	done	support	7.0	11	0	22
mrp_account	deep	done	support	9.0	11	0	22
pos_hr	deep	done	chain	3.0	11	0	22
project	deep	done	shop	5.0	8	6	22
stock_dropshipping	deep	done	chain	4.0	11	0	22
test_mass_mailing	test	todo	network	3.0	11	0	22
website_crm_partner_assign	deep	done	network	3.0	8	6	22
website_event	deep	done	network	3.0	7	8	22
website_slides	deep	done	network	3.0	8	6	22
im_livechat	deep	done	network	6.0	8	5	21
point_of_sale	deep	done	chain	3.0	7	7	21
website_event_track	deep	done	network	3.0	6	9	21
event_booth_sale	deep	done	network	3.0	10	0	20
event_sale	deep	done	network	3.0	10	0	20
purchase_requisition	deep	done	support	4.2	10	0	20
sale_loyalty	deep	done	chain	3.0	10	0	20
survey	deep	done	support	13.0	6	8	20
web	deep	done	support	8.0	4	12	20
event	deep	done	network	3.0	8	3	19
lunch	deep	done	support	7.0	9	1	19
purchase	deep	done	support	4.2	7	5	19
sms	deep	done	support	9.4	9	1	19
website_sale	deep	done	network	3.0	6	7	19
website_sale_loyalty	deep	done	network	3.0	7	5	19
account_edi_ubl_cii	deep	done	support	9.0	9	0	18
mail_plugin	deep	done	support	8.0	3	12	18
mrp	deep	done	chain	4.3	9	0	18
pos_self_order	deep	done	network	3.0	6	6	18
test_inherits	test	todo	support	13.0	9	0	18
website_hr_recruitment	deep	done	network	7.0	6	6	18
bus	deep	done	support	8.0	5	7	17
hr_skills	deep	done	support	7.0	8	1	17
payment	deep	done	network	9.0	6	5	17
pos_online_payment	deep	done	chain	3.0	7	3	17
sale_timesheet	deep	done	shop	5.0	8	1	17
sms_twilio	deep	done	support	9.4	8	1	17
gamification	deep	done	support	7.0	8	0	16
l10n_fr_pdp	baseline	todo	support	9.0	7	2	16
mass_mailing	deep	done	network	3.0	6	4	16
repair	deep	done	chain	4.0	8	0	16
stock_delivery	deep	done	chain	4.4	8	0	16
stock_picking_batch	deep	done	chain	4.0	8	0	16
test_mail_full	test	todo	support	13.0	6	4	16
website_event_track_quiz	deep	done	network	3.0	6	4	16
website_sale_wishlist	deep	done	network	3.0	6	4	16
crm	deep	done	shop	3.0	6	3	15
hr_attendance	deep	done	support	7.0	5	5	15
portal	deep	done	network	6.0	4	7	15
product	deep	done	support	2.0	6	3	15
sale_pdf_quote_builder	deep	done	chain	3.0	7	1	15
website_event_exhibitor	deep	done	network	3.0	6	3	15
account_edi	deep	done	support	9.0	7	0	14
account_peppol_response	deep	done	support	9.0	7	0	14
analytic	deep	done	support	9.0	7	0	14
auth_timeout	deep	done	support	8.0	5	4	14
fleet	deep	done	support	10.0	7	0	14
loyalty	deep	done	support	3.0	6	2	14
microsoft_calendar	deep	done	support	8.0	6	2	14
pos_event	deep	done	chain	3.0	7	0	14
sale_stock	deep	done	chain	4.0	6	2	14
test_inherit	test	todo	support	13.0	7	0	14
test_mail_sms	test	todo	support	13.0	7	0	14
utm	deep	done	support	3.0	7	0	14
website_forum	deep	done	network	3.0	5	4	14
website_profile	deep	done	network	3.0	3	8	14
website_slides_survey	deep	done	network	3.0	6	2	14
calendar	deep	done	support	13.0	5	3	13
mail_group	deep	done	network	9.4	5	3	13
payment_adyen	deep	done	network	9.0	4	5	13
spreadsheet	deep	done	support	13.0	6	1	13
website_payment	deep	done	network	3.0	4	5	13
auth_signup	deep	done	support	8.0	4	4	12
crm_iap_mine	deep	done	shop	3.0	6	0	12
delivery	deep	done	chain	4.4	5	2	12
event_crm	deep	done	network	3.0	6	0	12
google_calendar	deep	done	support	8.0	5	2	12
google_gmail	deep	done	support	8.0	5	2	12
hr	deep	done	support	7.0	6	0	12
hr_expense	deep	done	support	7.0	6	0	12
hr_holidays	deep	done	support	7.0	5	2	12
maintenance	deep	done	support	10.0	6	0	12
microsoft_outlook	deep	done	support	8.0	5	2	12
phone_validation	deep	done	support	8.0	6	0	12
pos_restaurant	deep	done	chain	3.0	6	0	12
product_expiry	deep	done	chain	4.0	6	0	12
sale	deep	done	chain	3.0	5	2	12
stock_account	deep	done	support	9.0	6	0	12
test_access_rights	test	todo	support	13.0	6	0	12
website_blog	deep	done	network	3.0	4	4	12
website_event_booth	deep	done	network	3.0	3	6	12
auth_oauth	deep	done	support	8.0	4	3	11
base_setup	deep	done	support	8.0	4	3	11
digest	deep	done	support	13.0	4	3	11
hr_timesheet	deep	done	shop	5.0	5	1	11
marketing_card	deep	done	network	3.0	4	3	11
payment_stripe	deep	done	network	9.0	3	5	11
sale_management	deep	done	chain	3.0	5	1	11
account_check_printing	deep	done	support	9.0	5	0	10
barcodes	deep	done	support	8.0	5	0	10
event_booth	deep	done	network	3.0	5	0	10
hr_recruitment	deep	done	support	7.0	5	0	10
l10n_hr_edi	baseline	todo	support	9.0	5	0	10
l10n_my_edi	baseline	todo	support	9.0	5	0	10
payment_mercado_pago	deep	done	network	9.0	3	4	10
resource	deep	done	support	7.0	5	0	10
spreadsheet_dashboard	deep	done	support	13.0	3	4	10
web_unsplash	deep	done	support	8.0	3	4	10
website_sale_comparison	deep	done	network	3.0	4	2	10
auth_passkey	deep	done	support	8.0	4	1	9
auth_totp	deep	done	support	8.0	4	1	9
base_import	deep	done	support	8.0	4	1	9
base_vat	deep	done	support	9.0	4	1	9
payment_flutterwave	deep	done	network	9.0	3	3	9
payment_razorpay	deep	done	network	9.0	3	3	9
auth_ldap	deep	done	support	8.0	4	0	8
base_geolocalize	deep	done	support	8.0	4	0	8
hr_work_entry	deep	done	support	7.0	4	0	8
http_routing	deep	done	support	8.0	3	2	8
l10n_ar_withholding	baseline	todo	support	9.0	4	0	8
l10n_in	baseline	todo	support	9.0	4	0	8
onboarding	deep	done	support	13.0	4	0	8
privacy_lookup	deep	done	support	13.0	4	0	8
rating	deep	done	support	6.0	3	2	8
sales_team	deep	done	support	3.0	4	0	8
test_search_panel	test	todo	support	13.0	4	0	8
web_tour	deep	done	support	8.0	4	0	8
website_crm_iap_reveal	deep	done	network	3.0	4	0	8
website_customer	deep	done	network	3.0	3	2	8
api_doc	deep	done	support	13.0	1	5	7
base_automation	deep	done	support	8.0	3	1	7
crm_mail_plugin	deep	done	shop	3.0	1	5	7
hr_org_chart	deep	done	support	7.0	2	3	7
l10n_dk_nemhandel	baseline	todo	support	9.0	2	3	7
l10n_id_efaktur_coretax	baseline	todo	support	9.0	3	1	7
link_tracker	deep	done	support	3.0	3	1	7
mail_bot	deep	done	support	9.4	3	1	7
payment_xendit	deep	done	network	9.0	2	3	7
website_links	deep	done	network	3.0	1	5	7
iap	deep	done	support	8.0	3	0	6
l10n_account_withholding_tax	baseline	todo	support	9.0	3	0	6
l10n_eg_edi_eta	baseline	todo	support	9.0	3	0	6
l10n_in_ewaybill	baseline	todo	support	9.0	3	0	6
l10n_latam_check	baseline	todo	support	9.0	3	0	6
l10n_pe_pos	baseline	todo	support	9.0	3	0	6
l10n_ro_edi	baseline	todo	support	9.0	2	2	6
l10n_vn_edi_viettel	baseline	todo	support	9.0	3	0	6
stock_landed_costs	deep	done	support	9.0	3	0	6
test_converter	test	todo	support	13.0	3	0	6
l10n_tw_edi_ecpay	baseline	todo	support	9.0	2	1	5
l10n_tw_edi_ecpay_website_sale	baseline	todo	support	9.0	0	5	5
microsoft_account	deep	done	support	8.0	2	1	5
pos_safaricom	baseline	todo	chain	3.0	1	3	5
rpc	deep	done	support	8.0	0	5	5
account_test	baseline	todo	support	9.0	2	0	4
base_install_request	baseline	todo	support	8.0	2	0	4
certificate	deep	done	support	8.0	2	0	4
data_recycle	deep	done	support	13.0	2	0	4
l10n_ar_pos	baseline	todo	support	9.0	2	0	4
l10n_ch	baseline	todo	support	9.0	2	0	4
l10n_dk_nemhandel_response	baseline	todo	support	9.0	2	0	4
l10n_fr_pos_cert	baseline	todo	support	9.0	2	0	4
l10n_gr_edi	baseline	todo	support	9.0	2	0	4
l10n_hu_edi	baseline	todo	support	9.0	2	0	4
l10n_it_edi	baseline	todo	support	9.0	2	0	4
l10n_pe	baseline	todo	support	9.0	1	2	4
l10n_sa_edi	baseline	todo	support	9.0	2	0	4
l10n_tr_nilvera	baseline	todo	support	9.0	2	0	4
l10n_tr_nilvera_einvoice	baseline	todo	support	9.0	2	0	4
l10n_tr_nilvera_einvoice_extended	baseline	todo	support	9.0	2	0	4
test_action_bindings	test	todo	support	13.0	2	0	4
test_convert	test	todo	support	13.0	2	0	4
test_rpc	test	todo	support	13.0	2	0	4
test_translation_import	test	todo	support	13.0	2	0	4
transifex	baseline	todo	support	13.0	2	0	4
base_import_module	baseline	todo	support	8.0	1	1	3
board	deep	done	support	13.0	1	1	3
google_account	deep	done	support	8.0	1	1	3
l10n_id	baseline	todo	support	9.0	1	1	3
payment_toss_payments	baseline	todo	network	9.0	0	3	3
project_mail_plugin	deep	done	shop	5.0	0	3	3
website_partner	deep	done	network	3.0	1	1	3
account_debit_note	baseline	todo	support	9.0	1	0	2
account_edi_proxy_client	baseline	todo	support	9.0	1	0	2
account_update_tax_tags	baseline	todo	support	9.0	1	0	2
base_address_extended	baseline	todo	support	8.0	1	0	2
base_sparse_field	baseline	todo	support	8.0	1	0	2
cloud_storage_migration	baseline	todo	support	13.0	1	0	2
google_address_autocomplete	baseline	todo	support	13.0	0	2	2
hr_homeworking	baseline	todo	support	7.0	1	0	2
hr_homeworking_calendar	baseline	todo	support	7.0	1	0	2
hr_recruitment_skills	baseline	todo	support	7.0	1	0	2
hr_timesheet_attendance	baseline	todo	support	7.0	1	0	2
iap_mail	baseline	todo	support	8.0	1	0	2
l10n_anz_ubl_pint	baseline	todo	support	9.0	1	0	2
l10n_ar	baseline	todo	support	9.0	1	0	2
l10n_br	baseline	todo	support	9.0	1	0	2
l10n_cz	baseline	todo	support	9.0	1	0	2
l10n_dk	baseline	todo	support	9.0	1	0	2
l10n_dk_oioubl	baseline	todo	support	9.0	1	0	2
l10n_ec	baseline	todo	support	9.0	1	0	2
l10n_es_edi_facturae	baseline	todo	support	9.0	1	0	2
l10n_es_edi_tbai	baseline	todo	support	9.0	1	0	2
l10n_es_edi_verifactu	baseline	todo	support	9.0	1	0	2
l10n_fr_account	baseline	todo	support	9.0	1	0	2
l10n_in_edi	baseline	todo	support	9.0	1	0	2
l10n_in_hr_holidays	baseline	todo	support	9.0	1	0	2
l10n_it_edi_doi	baseline	todo	support	9.0	1	0	2
l10n_jo_edi	baseline	todo	support	9.0	1	0	2
l10n_jo_edi_pos	baseline	todo	support	9.0	1	0	2
l10n_jp_ubl_pint	baseline	todo	support	9.0	1	0	2
l10n_ke	baseline	todo	support	9.0	1	0	2
l10n_latam_base	baseline	todo	support	9.0	1	0	2
l10n_latam_invoice_document	baseline	todo	support	9.0	1	0	2
l10n_mt_pos	baseline	todo	support	9.0	1	0	2
l10n_my_ubl_pint	baseline	todo	support	9.0	1	0	2
l10n_ph	baseline	todo	support	9.0	1	0	2
l10n_pl	baseline	todo	support	9.0	1	0	2
l10n_pl_bank_verification	baseline	todo	support	9.0	1	0	2
l10n_ro_cpv_code	baseline	todo	support	9.0	1	0	2
l10n_rs_edi	baseline	todo	support	9.0	1	0	2
l10n_sg	baseline	todo	support	9.0	1	0	2
l10n_sg_ubl_pint	baseline	todo	support	9.0	1	0	2
l10n_tr_nilvera_edispatch	baseline	todo	support	9.0	1	0	2
partner_autocomplete	baseline	todo	support	13.0	1	0	2
partnership	baseline	todo	chain	3.0	1	0	2
payment_aps	baseline	todo	network	9.0	0	2	2
payment_asiapay	baseline	todo	network	9.0	0	2	2
payment_buckaroo	baseline	todo	network	9.0	0	2	2
payment_ecpay	baseline	todo	network	9.0	0	2	2
payment_iyzico	baseline	todo	network	9.0	0	2	2
payment_mollie	baseline	todo	network	9.0	0	2	2
payment_nuvei	baseline	todo	network	9.0	0	2	2
payment_paymob	baseline	todo	network	9.0	0	2	2
payment_paypal	baseline	todo	network	9.0	0	2	2
payment_redsys	baseline	todo	network	9.0	0	2	2
payment_worldline	baseline	todo	network	9.0	0	2	2
pos_edi_ubl	baseline	todo	chain	3.0	1	0	2
pos_event_sale	baseline	todo	chain	3.0	1	0	2
pos_online_payment_self_order	baseline	todo	chain	3.0	0	2	2
pos_self_order_pine_labs	baseline	todo	chain	3.0	0	2	2
pos_self_order_razorpay	baseline	todo	chain	3.0	0	2	2
pos_self_order_stripe	baseline	todo	chain	3.0	0	2	2
product_margin	baseline	todo	support	2.0	1	0	2
project_todo	baseline	todo	shop	5.0	1	0	2
purchase_edi_ubl_bis3	baseline	todo	support	4.2	1	0	2
