module	value_model	activity	apqc	models	routes	js	owl	layers
account	support	support	9.0 Manage Financial Resourc	10	4	74	26	meta+code+fe+integ
account_check_printing	support	support	9.0 Manage Financial Resourc	5	0	0	0	meta+code
account_debit_note	support	support	9.0 Manage Financial Resourc	1	0	0	0	meta
account_edi_ubl_cii	support	support	9.0 Manage Financial Resourc	9	0	0	0	meta+code
account_qr_code_sepa	support	support	9.0 Manage Financial Resourc	0	0	0	0	meta
base	support	support	8.0 Manage Information Techn	17	0	0	0	meta+code+integ+run
base_vat	support	support	9.0 Manage Financial Resourc	4	1	0	0	meta+code+integ
bus	support	support	8.0 Manage Information Techn	5	7	20	1	meta+code+fe
calendar	support	support	13.0 Develop and Manage Busi	5	3	28	2	meta+code+fe
crm	shop	primary	3.0 Market and Sell Products	6	3	23	2	meta+code+fe
delivery	chain	support	4.4 Operate outbound transpo	5	2	7	6	meta+code+fe
event	network	primary	3.0 Market and Sell Products	8	3	13	3	meta+code+fe+integ
fleet	support	support	10.0 Acquire, Construct, and	7	0	1	0	meta+code+fe
hr	support	support	7.0 Develop and Manage Human	6	0	36	6	meta+code+fe
hr_attendance	support	support	7.0 Develop and Manage Human	5	5	13	11	meta+code+fe+integ
hr_expense	support	support	7.0 Develop and Manage Human	6	0	11	3	meta+code+fe
hr_holidays	support	support	7.0 Develop and Manage Human	14	5	37	6	meta+fe
hr_holidays_attendance	support	support	7.0 Develop and Manage Human	3	0	1	1	meta+fe
hr_recruitment	support	support	7.0 Develop and Manage Human	5	0	16	1	meta+code+fe
hr_timesheet	shop	primary	5.0 Deliver Services	5	1	16	2	meta+code+fe
im_livechat	network	primary	6.0 Manage Customer Service	8	5	102	11	meta+code+fe
l10n_ch	support	support	9.0 Manage Financial Resourc	2	0	0	0	meta
l10n_de	support	support	9.0 Manage Financial Resourc	0	0	0	0	meta
l10n_fr	support	support	9.0 Manage Financial Resourc	0	0	0	0	meta
l10n_in	support	support	9.0 Manage Financial Resourc	4	0	3	0	meta+fe
l10n_uk	support	support	9.0 Manage Financial Resourc	0	0	0	0	meta
l10n_us	support	support	9.0 Manage Financial Resourc	0	0	0	0	meta
link_tracker	support	support	3.0 Market and Sell Products	3	1	0	0	meta+code
loyalty	support	support	3.0 Market and Sell Products	6	2	5	2	meta+code+fe
lunch	support	support	7.0 Develop and Manage Human	9	6	7	7	meta+fe
mail	support	support	9.4 Manage internal controls	14	8	383	40	meta+code+fe+integ
maintenance	support	support	10.0 Acquire, Construct, and	6	0	7	0	meta+code+fe
marketing_card	network	support	3.0 Market and Sell Products	4	3	0	0	meta+code
mass_mailing	network	primary	3.0 Market and Sell Products	6	4	47	5	meta+code+fe+integ
mrp	chain	primary	4.3 Produce/Manufacture/Deli	9	0	26	15	meta+code+fe
mrp_account	support	support	9.0 Manage Financial Resourc	3	0	2	0	meta+fe
mrp_repair	chain	support	4.0 Deliver Physical Product	0	0	0	0	meta
mrp_subcontracting	chain	support	4.3 Produce/Manufacture/Deli	0	3	10	1	meta+fe
mrp_subcontracting_account	support	support	9.0 Manage Financial Resourc	0	0	0	0	meta
payment	network	support	9.0 Manage Financial Resourc	6	5	5	0	meta+code+fe+integ
point_of_sale	chain	primary	3.0 Market and Sell Products	7	7	166	23	meta+code+fe
portal	network	support	6.0 Manage Customer Service	4	7	27	2	meta+code+fe
pos_loyalty	chain	support	3.0 Market and Sell Products	4	0	13	1	meta+fe
pos_restaurant	chain	primary	3.0 Market and Sell Products	6	0	31	7	meta+code+fe
product	support	support	2.0 Develop and Manage Produ	6	3	15	4	meta+code+fe
product_expiry	chain	support	4.0 Deliver Physical Product	6	0	2	0	meta+code+fe
project	shop	primary	5.0 Deliver Services	8	6	119	14	meta+code+fe
purchase	support	support	4.2 Procure Materials and Se	7	5	15	4	meta+code+fe
purchase_mrp	support	support	4.2 Procure Materials and Se	0	0	1	0	meta+fe
purchase_requisition	support	support	4.2 Procure Materials and Se	5	0	3	0	meta+fe
purchase_stock	support	support	4.2 Procure Materials and Se	1	0	12	0	meta+fe
repair	chain	support	4.0 Deliver Physical Product	3	0	2	0	meta+fe
resource	support	support	7.0 Develop and Manage Human	5	0	5	0	meta+fe
sale	chain	primary	3.0 Market and Sell Products	5	2	37	10	meta+code+fe
sale_expense	support	support	9.0 Manage Financial Resourc	0	0	0	0	meta
